,text,place_lat_min,place_lon_min,place_lat_max,place_lon_max
75,Recuerdo del 2012 con 17 años logre solo y con mi money grabar en Barcelona en el studio de natch con zpu en la pro… https://t.co/uIoLurdM9J,,,,
76,"RT @Futbool_Fotos: Uno de los mejores mediocampistas del fútbol. El cerebro del FC Barcelona.

Feliz cumpleaños a Don Andrés Iniesta 🔴🔵 htt…",,,,
77,BARCELONA GIPSY KLEZMER ORCHESTRA - Lulle Lulle https://t.co/7z9oMx5XdZ via @YouTube,,,,
78,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
79,@ParronSierra Porque Barcelona &gt; Madrid,,,,
80,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
81,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
82,"RT @Aporla_14: Vinicius Jr. humilhando a defesa do Barcelona, passando pela sua timeline. https://t.co/PBl36aMTsA",,,,
83,RT @vicenteguallart: Se habla de la ciudad de 15 minutos de Paris y se contrapone al de las super manzanas de Barcelona. Quizás no se ha ex…,,,,
84,@vox_barcelona @eltorotv @VOX_Congreso @Igarrigavaz Al que no le guste España que se largue https://t.co/DLAKEsJVG6,,,,
85,"Pjanic to Barcelona ?🔵🔴

Pjanic al Barcelona?🔴🔵

📷 @GrizzouMVP https://t.co/6xWkWjLfeO",,,,
86,"RT @inter_latino: Según Di Marzio:

Inter avanza en las negociaciones por Sandro Tonali. Existe el interés por parte del jugador y un trato…",,,,
87,"RT @Aporla_14: Vinicius Jr. humilhando a defesa do Barcelona, passando pela sua timeline. https://t.co/PBl36aMTsA",,,,
88,"RT @InvictosSomos: Lionel Messi donó 500,000 euros a la campaña 'Juntos por la salud Argentina' de Fundación Garrahan. El dinero se destinó…",,,,
89,@vox_barcelona @eltorotv @VOX_Congreso @Igarrigavaz https://t.co/Fjp7SSQ9HC,,,,
90,RT @EcPeloteros: ¿@BarcelonaSC es más grande que @BocaJrsOficial &amp; @RiverPlate? Guillermo Morigi 👉🏻👉🏻 : “El Barcelona de Guayaquil yo consi…,,,,
91,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
92,RT @vicenteguallart: Se habla de la ciudad de 15 minutos de Paris y se contrapone al de las super manzanas de Barcelona. Quizás no se ha ex…,,,,
93,"RT @Aporla_14: Vinicius Jr. humilhando a defesa do Barcelona, passando pela sua timeline. https://t.co/PBl36aMTsA",,,,
94,"RT @Mazzinguerzett1: Lo dicho, cuando los lazis quemaban Barcelona Marlaska impedía a la policía nacional y a la guardia civil actuar. Hoy…",,,,
95,deixa eu te levar pra barcelona,,,,
96,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
97,RT @gregcatarino1: Nicanor Garcia- Barcelona https://t.co/jQipCGiWCO,,,,
98,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
99,"@Solo_Barcelona @IDOLO79_BSC Y ahooooora??? Disfrutalo sin llorar antes que les caiga el FBI, la DES, Interpol, Bat… https://t.co/wF2LAAl6ah",,,,
100,@FerTargaryen @vegano_torero @vox_barcelona @Igarrigavaz @eltorotv @VOX_Congreso Pirate de nuestro país comunista H… https://t.co/ysq6cRqGUO,,,,
101,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
102,"RT @324cat: Pisos turístics a Barcelona: el 40% passa a lloguer tradicional pel coronavirus
https://t.co/qsOQ13D6XM",,,,
103,"RT @CescFrancB: Pablo Picasso no era de Màlaga, va néixer a Malgrat de Mar, Barcelona. El seu veritable nom era Pau Blai Picó Sort i pertan…",,,,
104,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
105,Só em 1973 o Barcelona voltou a se chamar FC Barcelona e em 1975 o catalão voltou a ser o idioma oficial do clube,,,,
106,"RT @FootballFunnnys: In 2010 when Barcelona won 0-8 against Almeria. Lionel Messi was involved in 5 goals.

After that match, Ronaldo said:…",,,,
107,"@Samantharhill In Barcelona, &amp; my two nieces, would wear one of each (hip if don’t match)",,,,
108,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
109,RT @InstintoGanador: El delantero argentino Jonathan Calleri 🇦🇷 (26) tiene opciones muy altas de regresar a Boca Juniors 🇦🇷 este próximo ve…,,,,
110,RT @nowthisnews: Beachgoers returned to the sand in Barcelona Friday as Spain prepares to phase out its lockdown 🏖 https://t.co/pKk43BOkO4,,,,
111,"@danielmat_  Barcelona, pelada no pf e aquela alta de qualidade no pração",,,,
112,RT @TarekFatah: Spanish police arrest a Muslim man who they say is a suspected #IslamicState terrorist. He was planning an attack during th…,,,,
113,#munfact fansnya barcelona ^_^#viscabarca,,,,
114,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
115,"RT @LSaezJauregui: #Webinar 
@AXASegurosEs y @MediadorSeguros
«Una visión de la nueva normalidad en la industria aseguradora».
👌🏼👍🏼
Compart…",,,,
116,"RT @jusapolgipuzkoa: Detenido un ""lobo solitario"" en Barcelona que planeaba atentar a pesar del confinamiento por el #Covid_19

@guardiaciv…",,,,
117,Víctor Font ganará las elecciones para presidente en el Barcelona.,,,,
118,"RT @Flamengo: Há exatos dois meses, o Mengão vencia o Barcelona (EQU) por 3 a 0, no Maraca, pela Fase de Grupos da Libertadores 2020. Gusta…",,,,
119,@kevvwill Playing in the bedt club in the world installed in a place like barcelona where else would you go ?,,,,
120,"RT @Aporla_14: Vinicius Jr. humilhando a defesa do Barcelona, passando pela sua timeline. https://t.co/PBl36aMTsA",,,,
121,"RT @ChampionsLeague: 🔵🔴 Barcelona legend Andrés Iniesta is 36 today!

🥳 @andresiniesta8 

2⃣0⃣0⃣6⃣🏆
2⃣0⃣0⃣9⃣🏆
2⃣0⃣1⃣1⃣🏆
2⃣0⃣1⃣5⃣🏆

#UCL | #…",,,,
122,"RT @7leninvan: “Who Speculates With Tenants?"" via Barcelona Tenants Union, 2017. 
Chart names corporate landlords, each of whom owns more t…",,,,
123,RT @JaimePalomera: Visto en las calles de Barcelona. Lo han descubierto hoy las vecinas y vecinos de @HabitatgeVKK. https://t.co/AXbHGleXcU,,,,
